Waktu,Kecerahan,Temperature,Latitude,Longtitude
502.3720273,15.89999962,26.70000076,-6.89253384,107.5846508
512.3656275,11.39999962,26.70000076,-6.89251033,107.5845659
522.3605368,12.80000019,26.70000076,-6.89248566,107.5844791
532.4033133,10.80000019,26.70000076,-6.89246258,107.5843896
542.9827235,15.39999962,26.70000076,-6.89243901,107.5842971
552.3889696,15.60000038,26.70000076,-6.89242221,107.5842022
562.3852818,9.399999619,26.70000076,-6.89240315,107.5841033
572.3749155,15.39999962,26.70000076,-6.89238385,107.5840054
582.3725719,14.80000019,26.70000076,-6.89236196,107.5839183
592.3630177,13.80000019,26.70000076,-6.89235177,107.5838408
602.4095575,15.89999962,26.70000076,-6.89234019,107.5837727
612.4004333,12.89999962,26.70000076,-6.8923337,107.5837202
622.3943597,11.80000019,26.39999962,-6.89232802,107.5836652
632.388514,12.39999962,26.70000076,-6.8923259,107.5836177
642.3819459,14.10000038,26.39999962,-6.89232284,107.5835708
652.3757463,16.70000076,26.70000076,-6.89232198,107.5835253
662.3696196,15.5,26.70000076,-6.89232627,107.5834887
672.4130068,11,26.39999962,-6.89232979,107.5834468
682.4056233,12.80000019,26.70000076,-6.89233649,107.5833975
692.3999949,13.30000019,26.70000076,-6.8923397,107.5833402
702.3933074,13.10000038,26.70000076,-6.89234703,107.5832875
712.3880397,13.80000019,26.70000076,-6.89235205,107.5832416
722.3806513,12.10000038,26.70000076,-6.89235466,107.583197
732.3754444,13.80000019,26.70000076,-6.89235816,107.5831579
742.4190474,12.69999981,26.70000076,-6.89236429,107.5831105
752.4104018,15.60000038,26.70000076,-6.89235242,107.583062
762.4046606,12.10000038,26.70000076,-6.89235034,107.5830096
772.398669,16,26.70000076,-6.89234849,107.582953
782.3919558,14.10000038,26.70000076,-6.8923614,107.5828956
792.3860875,16.20000076,26.70000076,-6.89236833,107.5828229
802.3792633,14.39999962,26.70000076,-6.89236723,107.582771
812.420329,14.30000019,26.70000076,-6.89237543,107.5827396
822.4160218,16.29999924,26.70000076,-6.89238265,107.582705
832.412769,12.19999981,26.39999962,-6.89238472,107.5826707
842.4027615,11.89999962,26.70000076,-6.89238855,107.582631
852.4003271,16,26.70000076,-6.89239699,107.5825929
862.3894141,15.5,26.70000076,-6.8923995,107.5825538
872.3848337,12.69999981,26.70000076,-6.89239811,107.5825134
882.4277294,15.80000019,26.70000076,-6.89239627,107.5824612
892.4231026,13.30000019,26.70000076,-6.89239711,107.5824187
902.4131449,11.39999962,26.70000076,-6.89239955,107.5823837
912.4102182,14.5,26.70000076,-6.8924002,107.582354
922.4011774,15.10000038,26.70000076,-6.89240042,107.5823278
932.8354589,15,26.70000076,-6.89240044,107.5823067
942.389631,11.39999962,26.70000076,-6.89239924,107.5822919
952.8239172,15.39999962,26.70000076,-6.89239735,107.5822818
962.4269233,14.39999962,26.70000076,-6.89239657,107.5822716
971.9425385,14.80000019,26.70000076,-6.89239608,107.5822586
981.9388013,14.69999981,26.39999962,-6.89239593,107.582246
991.9303832,14.69999981,26.39999962,-6.89239558,107.5822342
1001.920849,14.60000038,26.39999962,-6.8923946,107.5822182
1011.963713,14.69999981,26.39999962,-6.89239381,107.5821976
1021.959196,14.60000038,26.39999962,-6.89239271,107.582175
1031.950916,14.60000038,26.39999962,-6.89239212,107.5821573
1041.946311,14.5,26.39999962,-6.8923922,107.5821439
1050.996829,14.39999962,26.39999962,-6.89239026,107.5821319
1060.993004,13.30000019,26.39999962,-6.89238969,107.582125
1070.98499,15.10000038,26.39999962,-6.8923891,107.5821213
